"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C82,C83,C90,C91","22µF","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","4",""
"C92","0.22 µF","","Capacitor_THT:C_Rect_L18.0mm_W8.0mm_P15.00mm_FKS3_FKP3","1",""
"D1,D2,D90","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,Diode_THT:D_DO-41_SOD81_P5.08mm_Vertical_AnodeUp,Diode_THT:D_DO-41_SOD81_P5.08mm_Vertical_CathodeUp","3",""
"D3","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P3.81mm_Vertical_CathodeUp","1",""
"D81","W10G","https://www.vishay.com/docs/88769/woo5g.pdf","Diode_THT:Diode_Bridge_Round_D9.8mm","1",""
"J1","Edge connector","","johanh-footprints:Oltronix_HV_board_edge_connector_15","1",""
"P1,R4","1k","","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical,Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical","2",""
"R1","15k","","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","1",""
"R2,Ra1","220k","","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","2",""
"R5","3k","","Resistor_THT:R_Axial_Power_L25.0mm_W9.0mm_P7.62mm_Vertical","1",""
"R6","2.2M","","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","1",""
"R82,R83","9k","","johanh-footprints:R_Axial_Power_L25.4mm_W7mm_P27.94mm","2",""
"R92,R93","100k","","Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical","2",""
"T1","BC556A","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"T2","2N4037","","Package_TO_SOT_THT:TO-39-3","1",""
"T3","BC546A","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"Z1,Z2","BZX85C12","https://www.vishay.com/docs/85816/1n4728a.pdf","Diode_THT:D_DO-41_SOD81_P5.08mm_Vertical_AnodeUp","2",""
